-*-*-*-*-*-*-*-*Begin To Train*-*-*-*-*-*-*-*-
Step=19/1104, Train Time=0.289738, Train Acc=0.578125
Step=39/1104, Train Time=0.379137, Train Acc=0.750000
Step=59/1104, Train Time=0.377992, Train Acc=0.835938
Step=79/1104, Train Time=0.378031, Train Acc=0.859375
Step=99/1104, Train Time=0.379952, Train Acc=0.828125
Step=119/1104, Train Time=0.380501, Train Acc=0.867188
Step=139/1104, Train Time=0.384973, Train Acc=0.875000
Step=159/1104, Train Time=0.373411, Train Acc=0.875000
Step=179/1104, Train Time=0.382976, Train Acc=0.859375
Step=199/1104, Train Time=0.385970, Train Acc=0.875000
Step=219/1104, Train Time=0.375996, Train Acc=0.898438
Step=239/1104, Train Time=0.393049, Train Acc=0.906250
Step=259/1104, Train Time=0.376994, Train Acc=0.921875
Step=279/1104, Train Time=0.382982, Train Acc=0.914062
Step=299/1104, Train Time=0.382978, Train Acc=0.953125
Step=319/1104, Train Time=0.378988, Train Acc=0.906250
Step=339/1104, Train Time=0.374998, Train Acc=0.937500
Step=359/1104, Train Time=0.396964, Train Acc=0.875000
Step=379/1104, Train Time=0.376010, Train Acc=0.914062
Step=399/1104, Train Time=0.380983, Train Acc=0.929688
Step=419/1104, Train Time=0.390953, Train Acc=0.929688
Step=439/1104, Train Time=0.378022, Train Acc=0.906250
Step=459/1104, Train Time=0.379509, Train Acc=0.906250
Step=479/1104, Train Time=0.378024, Train Acc=0.960938
Step=499/1104, Train Time=0.397551, Train Acc=0.898438
Step=519/1104, Train Time=0.442739, Train Acc=0.921875
Step=539/1104, Train Time=0.386001, Train Acc=0.929688
Step=559/1104, Train Time=0.391931, Train Acc=0.968750
Step=579/1104, Train Time=0.375996, Train Acc=0.914062
Step=599/1104, Train Time=0.379988, Train Acc=0.929688
Step=619/1104, Train Time=0.438829, Train Acc=0.921875
Step=639/1104, Train Time=0.366022, Train Acc=0.960938
Step=659/1104, Train Time=0.367021, Train Acc=0.929688
Step=679/1104, Train Time=0.433883, Train Acc=0.929688
Step=699/1104, Train Time=0.367073, Train Acc=0.929688
Step=719/1104, Train Time=0.379987, Train Acc=0.945312
Step=739/1104, Train Time=0.384020, Train Acc=0.953125
Step=759/1104, Train Time=0.381012, Train Acc=0.937500
Step=779/1104, Train Time=0.376993, Train Acc=0.921875
Step=799/1104, Train Time=0.366054, Train Acc=0.945312
Step=819/1104, Train Time=0.367073, Train Acc=0.929688
Step=839/1104, Train Time=0.434412, Train Acc=0.960938
Step=859/1104, Train Time=0.378040, Train Acc=0.937500
Step=879/1104, Train Time=0.367083, Train Acc=0.960938
Step=899/1104, Train Time=0.376944, Train Acc=0.929688
Step=919/1104, Train Time=0.376994, Train Acc=0.945312
Step=939/1104, Train Time=0.378988, Train Acc=0.882812
